capability	grammar	verifier	optimizer	lowering	invalid	runnable
ui.adaptive	aic-ir-0.2.ebnf:adaptive-on-create	m9_adaptive_variants_verify	m9_adaptive_variants_survive_o0_and_o1	m9_emits_adaptive_dispatch_and_lifecycle	m9-adaptive-invalid-fixtures	m9-adaptive-lifecycle.aic
ui.layout.linear	aic-ir-0.2.ebnf:linear-layout	m3_state_widgets_and_handlers_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m3_rejects_non_button_handler_and_bad_orientation	m9-navigation.aic
ui.layout.scroll	aic-ir-0.2.ebnf:scroll-view	m9_layout_dimensions_margins_and_containment_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9_layout_dimensions_margins_and_containment_verify	m9-navigation.aic
ui.layout.frame	aic-ir-0.2.ebnf:frame-layout	m9_layout_dimensions_margins_and_containment_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9_layout_dimensions_margins_and_containment_verify	m9-navigation.aic
ui.layout.spacing	aic-ir-0.2.ebnf:layout,set-padding	m9_declared_ui_variants_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9_declared_ui_variants_verify	m9-navigation.aic
ui.visibility	aic-ir-0.2.ebnf:set-visibility	m9_declared_ui_variants_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9_accessibility_semantics_and_view_states_verify	m9-navigation.aic
ui.enabled	aic-ir-0.2.ebnf:set-enabled	m9_accessibility_semantics_and_view_states_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9-accessibility-invalid-fixtures	m9-navigation.aic
ui.alignment	aic-ir-0.2.ebnf:set-gravity	m9_declared_ui_variants_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	m9_declared_ui_variants_verify	m9-navigation.aic
ui.text	aic-ir-0.2.ebnf:text-view,set-text	m3_state_widgets_and_handlers_verify	m9_declared_ui_surface_survives_o0_and_o1	m9_emits_declared_ui_surface_deterministically	preserves_m1_view_diagnostics	m9-navigation.aic
ui.text.size	aic-ir-0.2.ebnf:text-size	m9_bounded_scale_safe_text_sizes_verify	m9_text_sizes_survive_o0_and_o1	m9_emits_bounded_sp_text_sizes_deterministically	m9-text-size-invalid-fixtures	m9-navigation.aic
ui.color	aic-ir-0.2.ebnf:text-color,background-color	m9_literal_color_properties_verify	m9_literal_colors_survive_o0_and_o1	m9_emits_literal_color_properties_deterministically	m9-color-invalid-fixtures	m9-navigation.aic
